word,weight,number_of_words
bersimpuh,-3,1
bersinar,4,1
bersinggungan,-3,1
bersipongang,-3,1
bersisalak,-4,1
bersitegang,4,1
bersitegang,-4,1
bersiteguh,1,1
bersiteguh,-4,1
bersokom,-4,1
berstatus,4,1
bersuka-suka,-3,1
bersuka-sukaan,-3,1
bersulur,3,1
bersumber,4,1
bersungguh-sungguh,4,1
bersungguh-sungguh,-1,1
bersungkawa,-3,1
bersurai,-3,1
bersusah,-5,1
bersusah hati,-5,2
bersusila,-4,1
bersyukur,5,1
bertabrakan,-4,1
bertaburan,-5,1
bertahan,4,1
bertahan,-4,1
bertaki,-3,1
bertakwa,4,1
bertala-tala,-3,1
bertalun-talun,-3,1
bertambah,-5,1
bertambatan,3,1
bertambun,-3,1
bertamu,-4,1
bertandang,-4,1
bertanding,2,1
bertanding,-4,1
bertanduk,3,1
bertanduk,-2,1
bertangkap,-3,1
bertanya,2,1
bertanya-tanya,4,1
bertanya-tanya,-3,1
bertapa,-3,1
bertapakkan,-4,1
bertara,-3,1
bertaraf,3,1
bertarak,-3,1
bertaruk,3,1
bertasyakur,-4,1
bertautan,-4,1
bertebaran,-5,1
berteduh,3,1
berteduh,-2,1
berteguh hati,4,2
bertekak,-4,1
bertekan,1,1
bertekuk lutut,-3,2
bertekun,4,1
bertelanjang,-3,1
bertele-tele,-3,1
bertelimpuh,-3,1
bertelinga lembut,-3,2
bertelinga merah,4,2
bertelinga merah,-3,2
bertelingkah,-4,1
berteman,-3,1
bertemperasan,-3,1
bertempiar,-3,1
bertemu,2,1
bertemu roma,-4,2
bertenaga,5,1
bertendensi,-3,1
bertenggang,3,1
